question,answer,intent
"What is drip irrigation?","Drip irrigation delivers water directly to the root zone of plants via a network of pipes, tubes, and emitters at low flow rates. It reduces water usage by 30-50% compared to flood irrigation and minimizes weed growth.",irrigation
"What is sprinkler irrigation?","Sprinkler irrigation mimics natural rainfall by distributing water through a system of pipes and sprinklers. It is suitable for all crop types, especially vegetables, fruits, and field crops in undulating terrain.",irrigation
"What is flood irrigation?","Flood irrigation is the simplest and oldest method where water is simply flooded or ran over agricultural fields. Though cheap, it is the least efficient in terms of water use and can cause waterlogging.",irrigation
"What is furrow irrigation?","Furrow irrigation involves making small parallel channels along the length of a field between crop rows and letting water flow through by gravity. It reduces evaporation compared to flood irrigation.",irrigation
"How much water does rice need?","Rice requires about 1,200–2,000 mm of water during its growing season. Paddy fields should be kept flooded (5-10 cm water depth) during most of the growing period.",irrigation
"How much water does wheat need?","Wheat requires 4-5 irrigations totaling about 300-450 mm of water. Critical stages are Crown Root Initiation (21 days after sowing), tillering, jointing, flowering, and grain filling.",irrigation

"What is organic farming?","Organic farming is a method of crop production that avoids synthetic chemicals, relying instead on natural processes. It uses organic manures, crop rotation, biological pest control, and green manure to maintain soil fertility.",farming_type
"What is precision agriculture?","Precision agriculture uses technology like GPS, remote sensing, IoT sensors, and data analytics to monitor and manage crops at a micro-level, enabling site-specific applications of inputs to maximize yield and efficiency.",farming_type
"What is hydroponics?","Hydroponics is a soil-less farming technique where plants grow in nutrient-rich water solutions. It requires less water, can be done indoors, gives higher yields, and allows year-round cultivation.",farming_type
"What is vertical farming?","Vertical farming involves growing crops in stacked layers indoors under artificial lighting. It uses 95% less water than traditional farming and requires minimal space. Common crops: lettuce, herbs, and spinach.",farming_type
"What is integrated farming system?","Integrated Farming System (IFS) combines crops, livestock, fishery, and other enterprises to maximize use of farm resources. It improves income, reduces risks, and maintains ecological balance.",farming_type
"What is agroforestry?","Agroforestry is a land-use management approach that combines trees or shrubs along with crops and/or livestock on the same land. It enhances biodiversity, reduces soil erosion, and improves farm income.",farming_type
"What is intercropping?","Intercropping is growing two or more crops simultaneously in the same field. For example, growing maize and beans together. It maximizes land use, reduces pests, and improves soil nitrogen through legumes.",farming_type

"What is NPK fertilizer?","NPK fertilizer contains Nitrogen (N) for leaf growth, Phosphorous (P) for root and flower development, and Potassium (K) for overall plant health and disease resistance. The ratio (e.g., 10-10-10) indicates percentage of each nutrient.",fertilizer
"What is urea fertilizer?","Urea is a nitrogen-rich fertilizer (46% N) commonly used for promoting leafy green growth. It should be applied in 2-3 split doses during the crop growing season. Over-application can cause soil acidification.",fertilizer
"What is DAP fertilizer?","DAP (Di-Ammonium Phosphate) is a widely used fertilizer rich in phosphorous (46% P₂O₅) and nitrogen (18% N). It is applied as a basal dose at the time of sowing to promote strong root development.",fertilizer
"What is green manure?","Green manure involves growing specific green crops like Dhaincha (Sesbania) or Sun Hemp and then plowing them into the soil. It improves soil organic matter, nitrogen content, and microbial activity.",fertilizer
"What is vermicompost?","Vermicompost is organic compost produced by earthworms breaking down organic waste. It is rich in plant-available nutrients, growth hormones, and beneficial microbes. It improves soil structure and water retention.",fertilizer
"How to prepare compost at home farm?","To make compost: Collect farm waste (crop residues, animal dung, kitchen waste). Layer green (nitrogen-rich) and brown (carbon-rich) materials. Maintain moisture. Turn the pile every 2-3 weeks. Compost is ready in 2-3 months when it smells earthy.",fertilizer

"What causes leaf curl in chili plants?","Leaf curl in chili is caused by Chili Leaf Curl Virus (ChLCV) transmitted by whiteflies. Symptoms include upward curling, yellowing, and stunted growth. Control by spraying imidacloprid and removing infected plants.",disease
"What is rice blast disease?","Rice blast caused by Magnaporthe oryzae fungus is the most destructive rice disease. Symptoms: diamond-shaped lesions on leaves with gray centers and brown borders. Control: Use resistant varieties, apply tricyclazole fungicide, and maintain proper spacing.",disease
"What is wheat rust disease?","Wheat rust is caused by Puccinia fungi. Three types: Leaf Rust (P. triticina), Stem Rust (P. graminis), and Yellow/Stripe Rust (P. striiformis). Symptoms: orange, brown, or yellow pustules on leaves. Use resistant varieties and propiconazole fungicide.",disease
"How to control powdery mildew in crops?","Powdery mildew is a fungal disease causing white powdery coating on leaves. Control: improve air circulation, apply sulfur-based fungicides or neem oil, remove infected leaves, avoid overhead irrigation.",disease
"What is Fusarium wilt?","Fusarium wilt is a soil-borne fungal disease causing yellowing, wilting, and death of plants. It affects tomato, banana, and many other crops. Use resistant varieties, solarize soil, and apply Trichoderma biocontrol agents.",disease
"How to treat aphids in crops?","Aphids are small soft-bodied insects that suck plant sap, causing leaf curling and yellowing. Control: Spray neem oil (5 ml/L) or imidacloprid, introduce natural predators like ladybirds, use yellow sticky traps, and remove heavily infested plant parts.",pest_control
"How to control fall armyworm?","Fall Armyworm (FAW) attacks maize, sorghum, and other grains. Regularly scout crops, apply Emamectin benzoate or Chlorantraniliprole sprays, use pheromone traps for monitoring, and apply NPV-based biopesticide.",pest_control
"What is integrated pest management?","IPM (Integrated Pest Management) is a holistic approach combining biological, cultural, physical, and chemical methods to minimize pest damage. It includes crop rotation, resistant varieties, biocontrol, proper irrigation, and judicious use of pesticides.",pest_control

"How to improve soil fertility?","Improve soil fertility by: adding organic manure (FYM/compost), growing green manure crops, practicing crop rotation, applying balanced NPK fertilizers based on soil test, using biofertilizers like Rhizobium, and maintaining soil moisture with mulching.",soil
"What is soil pH and how to correct it?","Soil pH measures acidity or alkalinity on a scale of 1-14 (7 is neutral). Most crops prefer pH 6-7.5. To lower acidic pH: add lime (calcium carbonate). To raise alkaline pH: add gypsum or organic matter and sulfur.",soil
"What is soil erosion and how to prevent it?","Soil erosion is the removal of topsoil by wind or water. Prevent it by: growing cover crops, planting trees as windbreaks, constructing terraces on slopes, practicing contour farming, and using mulching to protect the soil surface.",soil
"What is soil salinity problem?","Soil salinity occurs when excess soluble salts accumulate, inhibiting plant water uptake. Symptoms include white crust on soil surface. Treat by: deep ploughing, applying gypsum, growing salt-tolerant crops, and improving drainage.",soil

"What crops to grow in summer season India?","In Indian summers (March-June), grow Zaid crops: Watermelon, Muskmelon, Cucumber, Bitter gourd, Ridge gourd, Moong dal, and Cowpea. These thrive in hot and dry conditions with irrigation support.",seasonal_crop
"What vegetables to grow in winter in India?","Winter (Rabi) vegetable crops in India include: Peas, Tomato, Cauliflower, Cabbage, Carrot, Radish, Spinach, Fenugreek, Potato, Onion, and Garlic. These do well in cool temperatures of 10-20°C.",seasonal_crop
"What crops grow in rainy season?","Kharif/rainy season crops (June-October): Rice, Maize, Jowar, Bajra, Sugarcane, Cotton, Soybean, Groundnut, Arhar (Pigeon pea), Moong, Urad, and Guar. They rely on monsoon rainfall.",seasonal_crop

"What are cash crops?","Cash crops are grown primarily for sale rather than subsistence. Major cash crops in India: Cotton, Sugarcane, Tobacco, Jute, Tea, Coffee, Rubber, and Oilseeds (Mustard, Sunflower, Groundnut).",crop_type
"What are food crops?","Food crops are grown for direct human consumption. Major food crops include: Rice, Wheat, Maize, Barley, Millets (Bajra, Jowar, Ragi), Pulses (Gram, Lentil, Arhar), and Vegetables.",crop_type
"What are plantation crops?","Plantation crops are large-scale commercial crops grown on estates: Tea, Coffee, Rubber, Coconut, Oil Palm, Cardamom, and Pepper. They require specific climates — mostly tropical and subtropical.",crop_type
"What are oil seed crops?","Oilseed crops are grown for extracting edible oils. Major oilseeds in India: Groundnut, Mustard, Sunflower, Soybean, Sesame (Til), Linseed, Castor, and Safflower.",crop_type
"What are fiber crops?","Fiber crops produce natural plant fibers. Major fiber crops: Cotton (used for textile), Jute (used for bags/packaging), Flax/Linseed (linen fiber), and Coir from coconut husk.",crop_type
"What are spice crops?","India is the largest producer of spices. Key spice crops: Turmeric, Ginger, Chili, Black Pepper, Cardamom, Cumin, Coriander, Fenugreek, Clove, and Nutmeg.",crop_type

"How to grow tomatoes successfully?","To grow tomatoes: Use well-drained loamy soil with pH 6-7. Space plants 45-60 cm apart. Irrigate regularly but avoid waterlogging. Apply NPK fertilizer at planting. Stake or cage plants for support. Control leaf borer and early blight with appropriate pesticides.",crop_guide
"How to grow paddy rice?","Rice growing steps: 1. Prepare nursery beds and sow seed. 2. Transplant 25-30 day old seedlings in puddled field with 20x15 cm spacing. 3. Maintain 5 cm water level. 4. Apply basal fertilizer + split topdressing of urea. 5. Control weeds at 20-25 days. 6. Harvest at 80% grain maturity.",crop_guide
"How to grow wheat crop?","Wheat cultivation: Sow in November-December in well-prepared field. Seed rate: 100-125 kg/ha. Apply DAP at sowing and urea top-dressing at tillering and jointing stages. Irrigate at Crown Root Initiation, tillering, flowering, and grain filling stages. Harvest when grains harden.",crop_guide
"How to grow potatoes?","Potato cultivation: Plant certified seed tubers in October-November. Spacing: 60 x 20 cm. Apply FYM + NPK fertilizers. Hill up soil around plants. Irrigate every 8-10 days. Harvest in 90-120 days when plants turn yellow. Store in cool, ventilated conditions.",crop_guide

"What is post harvest management?","Post-harvest management includes activities after crop harvest: threshing, cleaning, grading, drying, storage, packaging, and transportation. Proper post-harvest handling reduces losses (20-30%) and maintains crop quality for better market price.",post_harvest
"How to store grains at farm level?","Store grains in: clean, dry, and rodent-proof structures; use metal bins or pucca kothi; seal cracks and crevices; treat with fumigants like Aluminium Phosphide tablets if needed; maintain moisture content below 12% for safe storage.",post_harvest
"How to reduce post harvest losses in vegetables?","Reduce vegetable post-harvest losses by: harvesting at right maturity, using clean plastic crates, pre-cooling in cold or ice water, applying permitted wax coating on fruits, storing at proper temperature and humidity, and using refrigerated transport.",post_harvest

"What is millet farming?","Millets are climate-resilient, nutritious crops. Types: Pearl millet (Bajra), Sorghum (Jowar), Finger millet (Ragi), Foxtail millet, Kodo millet, and Barnyard millet. They are drought-tolerant, require low input, and are suitable for drylands. India launched 'Year of Millets 2023'.",crop_guide
"What is sugarcane farming?","Sugarcane is a tropical long-duration cash crop (12-18 months). Plant sets (setts) in furrows, 75-90 cm apart. Requires rich fertile soil and warm humid climate. Apply heavy doses of nitrogen fertilizer. Harvest by cutting at ground level. India is world's 2nd largest producer.",crop_guide
"What is banana farming?","Banana requires hot humid tropical climate, deep, well-drained fertile soil and pH 6-7.5. Plant tissue culture or sucker planting. Space 1.5-2 m apart. Apply NPK and micro-nutrients. Fruit matures in 9-12 months. Control Panama wilt using bio-agents.",crop_guide
"How to grow onion crop?","Onion cultivation: Sow seeds in nursery, transplant 6-8 week old seedlings at 10x7.5 cm spacing. Apply phosphorous at sowing. Irrigate at regular intervals but stop 10 days before harvest. Harvest when 50% tops fall down. Dry cured onions before storage.",crop_guide
"What is cotton farming?","Cotton is a kharif cash crop grown in black cotton soil. Sow in June-July. Space at 90x45 cm for Bt cotton. Apply 120:60:60 kg NPK per hectare. Manage bollworm with Bt variety + neem spray. Harvest open bolls from October to January.",crop_guide

"What is biofertilizer?","Biofertilizers are living microorganism preparations that enhance nutrient availability in soil. Examples: Rhizobium (fixes nitrogen in legumes), Azospirillum (free-nitrogen fixer for non-legumes), Phosphate Solubilizing Bacteria (PSB), Mycorrhiza (improves phosphorous uptake), and Blue Green Algae (BGA) for paddy.",fertilizer
"What is PGPR in agriculture?","PGPR (Plant Growth Promoting Rhizobacteria) are beneficial bacteria in the rhizosphere that promote plant growth by fixing nitrogen, solubilizing phosphorous, producing phytohormones, and suppressing soil-borne pathogens. Examples: Bacillus, Pseudomonas, and Azospirillum.",fertilizer

"What is NABARD?","NABARD (National Bank for Agriculture and Rural Development) is India's apex development bank for agriculture and rural sectors. It provides credit, refinancing, and developmental support to banks lending to farmers. It also implements rural infrastructure programs.",govt_scheme
"What is APMC?","APMC (Agricultural Produce Marketing Committee) is a statutory market committee set up by state governments to regulate agricultural trade, ensure fair prices, and curb exploitation of farmers by intermediaries. APMC markets (mandis) are licensed trading centers.",govt_scheme
"What is MSP?","MSP (Minimum Support Price) is the price at which the government guarantees to purchase crops from farmers, protecting them from price crashes. CACP (Commission for Agricultural Costs and Prices) recommends MSP for 23 crops every year.",govt_scheme
"What scheme helps farmers with irrigation?","PMKSY (Pradhan Mantri Krishi Sinchayee Yojana) helps farmers with irrigation by funding drip and sprinkler systems, check dams, field channels, and watershed development covering 'Har Khet Ko Pani' goal.",govt_scheme

"How does weather affect crop production?","Weather significantly impacts crops: Temperature affects plant metabolism and growth. Rainfall influences soil moisture. Humidity impacts disease occurrence. Frost can damage sensitive crops. Drought reduces yield. Floods cause waterlogging. Farmers must select crops adapted to local weather patterns.",weather_farming
"What crops grow well in drought conditions?","Drought-tolerant crops: Millets (Bajra, Jowar, Ragi), Sorghum, Moth bean, Cowpea, Cluster bean, Groundnut, Castor, and Sesame. These crops can survive with 300-600 mm rainfall and are perfect for water-scarce regions.",weather_farming
"What crops survive flooding?","Flood-tolerant rice varieties like Swarna Sub-1, FR13A, and Sambha Mahsuri can survive 15-20 days of submergence. Water spinach (Kangkong) and taro also tolerate periodic flooding.",weather_farming
"What crops grow in high altitude hills?","In high altitude and hilly terrains: Apple, Pear, Plum, Peach, Cherry, Walnut, and Hops grow excellently. For food crops: Wheat, Barley, Potato, Buckwheat, and Temperate vegetables like Cabbage, Peas, and Radish thrive.",climate_crop
"How to protect crops from frost?","Protect crops from frost by: Irrigating fields before expected frost (frost protection by latent heat). Cover sensitive plants with cloth or plastic. Use overhead sprinkler irrigation during frost. Smoke generation in orchards. Plant frost-resistant varieties.",weather_farming

"What is animal husbandry and how does it relate to farming?","Animal husbandry is the management of farm animals including cattle, buffalo, goat, sheep, pig, and poultry. Integrated with farming, it provides: supplementary income, organic manure, draught power, milk, eggs, and meat. It helps small farmers diversify income sources.",livestock
"What is dairy farming?","Dairy farming involves rearing cattle (cows, buffaloes) for milk production. Key requirements: good breed (HF, Jersey, Murrah Buffalo), balanced feed, clean housing, regular veterinary care, access to ground water, and milk marketing. The National Dairy Development Board (NDDB) supports dairy farmers.",livestock
"What is fishery and aquaculture?","Fishery involves catching fish from natural water bodies while aquaculture is the controlled farming of fish, shrimp, and shellfish in ponds or tanks. Aquaculture produces Catla, Rohu, Mrigal, Pangasius, and Shrimp commercially. Government supports through PMMSY scheme.",livestock

"What is the role of agriculture in India economy?","Agriculture contributes about 17-18% of India's GDP and employs over 45% of the workforce. India is a leading producer of rice, wheat, sugarcane, spices, milk, cotton, and pulses globally. The sector is crucial for food security and rural livelihoods.",agri_general
"What is the Green Revolution?","The Green Revolution (1960s-70s) introduced high-yielding varieties (HYV) of wheat and rice, modern irrigation, fertilizers, and pesticides to dramatically increase food production in India. It transformed India from a food-importing to food-sufficient nation. Led by Dr. M.S. Swaminathan.",agri_general
"What is Blue Revolution in agriculture?","The Blue Revolution refers to the massive development of the fisheries sector in India, achieving record fish production through aquaculture, inland fisheries, and marine fisheries. The Pradhan Mantri Matsya Sampada Yojana (PMMSY) is the current flagship fisheries scheme.",agri_general
"What is White Revolution in agriculture?","The White Revolution (Operation Flood) was India's national dairy development program led by Dr. Verghese Kurien. It transformed India into the world's largest milk producer by establishing cooperative dairy networks across rural India, with Amul as the iconic example.",agri_general

"How does climate change affect agriculture?","Climate change impacts agriculture through: rising temperatures shortening crop cycles, erratic monsoons causing drought or floods, increased frequency of extreme weather events, shifting of pest and disease zones, and sea level rise affecting coastal farmland. Adaptation strategies include heat-tolerant varieties and efficient irrigation.",agri_general
"What is farm mechanization?","Farm mechanization is the use of agricultural machinery like tractors, harvesters, seed drills, threshers, power tillers, and drones to replace manual and animal labor. It increases efficiency, reduces cost, and saves time. Government subsidizes machinery through SMAM scheme.",agri_general
"What is the role of technology in modern agriculture?","Modern agriculture uses technology including: IoT soil and weather sensors, drones for aerial spraying and crop monitoring, AI for yield forecasting, satellite remote sensing for crop health assessment, mobile apps for market price information, precision irrigation, and GPS-guided farm machinery.",agri_general
